"season"	"week_num"	"day_of_week"	"gametime_local"	"home_team"	"away_team"	"home_score"	"away_score"	"OT_flag"	"arrests"	"division_game"
"466"	2011	12	"Sunday"	"7:20:00 PM"	"Kansas City"	“123Pittsburgh"	9	13	""	0	"n"
"1000"	2015	2	"Sundayoops!"	"1:00:00 PM"	"Washington"	"St. Louis"	24	10	""	0	"n"
"529"	2015	16	"Sunday"	"1:00:00 PM"	"Miami"	"Indianapolis"	12	18	""	0	"n"
"996"	2014	14	"Sundayoops!"	"1:00:00 PM"	"Washington"	"St. Louis"	0	24	""	3	"n"
"577"	2011	15	"Sunday"	"1:00:00 PM"	"New York Giants"	"Washington"	10	23	""	31	"y"
"689"	2011	4	"Sunday"	"1:00:00 PM"	"Philadelphia"	"San Francisco"	23	24	""	5	"n"
"745"	2013	3	"Sundayoops!"	"8:30:00 PM"	"Pittsburgh"	"123Chicago"	23	40	""	56	"n"
"964"	2015	12	"Sunday"	"12:00:00 PM"	"Tennessee"	"Oakland"	21	24	""	0	"n"
"448"	2014	5	"Sunday"	"1:00:00 PM"	"Jacksonville"	"Pittsburgh"	9	17	""	3	"n"
"666"	2012	15	"Sunday"	"1:25:00 PM"	"Oakland"	"Kansas City"	0	15	""	8	"y"
"21"	2013	10	"Sundayoops!"	"2:25:00 PM"	"Arizona"	"Houston"	27	24	""	3	"n"
"681"	2015	2	"Sunday"	"1:05:00 PM"	"Oakland"	"Baltimore"	37	33	""	18	"n"
"470"	2012	4	"Sunday"	"12:00:00 PM"	"Kansas City"	"San Diego"	20	37	""	0	"y"
"113"	2011	3	"Sunday"	"3:25:00 PM"	"Chicago"	"Green Bay"	17	27	""	0	"y"
"636"	2014	3	"Mondayoops!"	"8:30:00 PM"	"New York Jets"	"123Chicago"	19	27	""	27	"n"
"694"	2011	15	"Sunday"	"4:15:00 PM"	"Philadelphia"	"New York Jets"	45	19	""	1	"n"
"744"	2013	1	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Tennessee"	9	16	""	37	"n"
"639"	2014	8	"Sunday"	"1:00:00 PM"	"New York Jets"	"Buffalo"	23	43	""	25	"y"
"18"	2013	5	"Sunday"	"1:05:00 PM"	"Arizona"	"Carolina"	22	6	""	3	"n"
"586"	2012	17	"Sunday"	"1:00:00 PM"	"New York Giants"	"Philadelphia"	42	7	""	15	"y"
"749"	2013	14	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Miami"	28	34	""	6	"n"
"67"	2015	10	"Sunday"	"1:05:00 PM"	"Baltimore"	"123Jacksonville"	20	22	""	6	"n"
"916"	2014	13	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"Cincinnati"	13	14	""	0	"n"
"624"	2012	12	"Thursdayoops!"	"8:20:00 PM"	"New York Jets"	"123New England"	19	49	""	38	"y"
"625"	2012	14	"Sunday"	"1:00:00 PM"	"New York Jets"	"Arizona"	7	6	""	11	"n"
"127"	2012	15	"Sunday"	"12:00:00 PM"	"Chicago"	"Green Bay"	13	21	""	2	"y"
"814"	2011	13	"Sunday"	"1:15:00 PM"	"San Francisco"	"St. Louis"	26	0	""	4	"y"
"293"	2014	13	"Thursday"	"12:30:00 PM"	"Detroit"	"123Chicago"	34	17	""	NA	"y"
"570"	2015	15	"Sunday"	"1:00:00 PM"	"New England"	"123Tennessee"	33	16	""	2	"n"
"295"	2014	15	"Sunday"	"4:25:00 PM"	"Detroit"	"123Minnesota"	16	14	""	NA	"y"
"528"	2015	14	"Monday"	"8:30:00 PM"	"Miami"	"New York Giants"	24	31	""	2	"n"
"803"	2015	7	"Sunday"	"1:05:00 PM"	"San Diego"	"123Oakland"	29	37	""	13	"y"
"225"	2011	2	"Sunday"	"2:15:00 PM"	"Denver"	"Cincinnati"	24	22	""	0	"n"
"933"	2011	14	"Sunday"	"12:00:00 PM"	"Tennessee"	"New Orleans"	17	22	""	1	"n"
"210"	2014	5	"Sunday"	"12:00:00 PM"	"Dallas"	"Houston"	20	17	"OT"	7	"n"
"751"	2013	17	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"123Cleveland"	20	7	""	7	"y"
"84"	2012	10	"Sunday"	"1:00:00 PM"	"Carolina"	"Denver"	14	36	""	1	"n"
"346"	2011	5	"Sunday"	"12:00:00 PM"	"Houston"	"Oakland"	20	25	""	1	"n"
"823"	2012	17	"Sunday"	"1:25:00 PM"	"San Francisco"	"Arizona"	27	13	""	5	"y"
"394"	2012	5	"Sunday"	"1:00:00 PM"	"Indianapolis"	"123Green Bay"	30	27	""	3	"n"
"108"	2015	9	"Sunday"	"1:00:00 PM"	"Carolina"	"123Green Bay"	37	29	""	2	"n"
"789"	2013	14	"Sundayoops!"	"1:25:00 PM"	"San Diego"	"New York Giants"	37	14	""	19	"n"
"392"	2012	2	"Sunday"	"1:00:00 PM"	"Indianapolis"	"123Minnesota"	23	20	""	1	"n"
"397"	2012	12	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Buffalo"	20	13	""	5	"n"
"656"	2011	12	"Sunday"	"1:05:00 PM"	"Oakland"	"Chicago"	25	20	""	15	"n"
"335"	2014	17	"Sunday"	"3:25:00 PM"	"Green Bay"	"Detroit"	30	20	""	6	"y"
"737"	2012	5	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"123Philadelphia"	16	14	""	18	"n"
"124"	2012	10	"Sunday"	"7:20:00 PM"	"Chicago"	"Houston"	6	13	""	3	"n"
"993"	2014	5	"Monday"	"8:30:00 PM"	"Washington"	"Seattle"	17	27	""	0	"n"
"72"	2011	2	"Sunday"	"1:00:00 PM"	"Carolina"	"123Green Bay"	23	30	""	0	"n"
"866"	2013	6	"Sunday"	"1:06:00 PM"	"Seattle"	"123Tennessee"	20	13	""	0	"n"
"719"	2014	15	"Sunday"	"8:30:00 PM"	"Philadelphia"	"123Dallas"	27	38	""	4	"y"
"130"	2013	5	"Sunday"	"12:00:00 PM"	"Chicago"	"New Orleans"	18	26	""	0	"n"
"496"	2015	12	"Sunday"	"12:00:00 PM"	"Kansas City"	"Buffalo"	30	22	""	0	"n"
"160"	2013	2	"Mondayoops!"	"8:40:00 PM"	"Cincinnati"	"Pittsburgh"	20	10	""	3	"y"
"506"	2012	15	"Sunday"	"1:00:00 PM"	"Miami"	"Jacksonville"	24	3	""	2	"n"
"4"	2011	9	"Sunday"	"2:15:00 PM"	"Arizona"	"St. Louis"	19	13	"OT"	6	"y"
"430"	2011	14	"Sunday"	"1:00:00 PM"	"Jacksonville"	"123Tampa Bay"	41	14	""	3	"n"
"682"	2015	5	"Sunday"	"1:25:00 PM"	"Oakland"	"123Denver"	10	16	""	21	"y"
"728"	2011	2	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"123Seattle"	24	0	""	15	"n"
"217"	2015	3	"Sunday"	"12:00:00 PM"	"Dallas"	"123Atlanta"	28	39	""	3	"n"
"758"	2014	16	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Kansas City"	20	12	""	10	"n"
"384"	2011	2	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Cleveland"	19	27	""	2	"n"
"106"	2015	7	"Sunday"	"8:30:00 PM"	"Carolina"	"Philadelphia"	27	16	""	4	"n"
"204"	2013	9	"Sunday"	"12:00:00 PM"	"Dallas"	"Minnesota"	27	23	""	1	"n"
"431"	2011	17	"Sunday"	"1:00:00 PM"	"Jacksonville"	"Indianapolis"	19	13	""	1	"y"
"978"	2012	9	"Sundayoops!"	"1:00:00 PM"	"Washington"	"Carolina"	13	21	""	2	"n"
"233"	2012	3	"Sunday"	"2:25:00 PM"	"Denver"	"123Houston"	25	31	""	1	"n"
"851"	2011	10	"Sunday"	"1:05:00 PM"	"Seattle"	"123Baltimore"	22	17	""	0	"n"
"646"	2015	9	"Sunday"	"1:00:00 PM"	"New York Jets"	"Jacksonville"	28	23	""	15	"n"
"321"	2013	5	"Sunday"	"12:00:00 PM"	"Green Bay"	"123Detroit"	22	9	""	8	"y"
"836"	2014	12	"Sunday"	"1:25:00 PM"	"San Francisco"	"Washington"	17	13	""	24	"n"
"591"	2013	11	"Sunday"	"4:25:00 PM"	"New York Giants"	"Green Bay"	27	13	""	16	"n"
"840"	2015	1	"Monday"	"7:20:00 PM"	"San Francisco"	"Minnesota"	20	3	""	28	"n"
"218"	2015	5	"Sunday"	"3:25:00 PM"	"Dallas"	"New England"	6	30	""	7	"n"
"81"	2012	3	"Thursday"	"8:20:00 PM"	"Carolina"	"New York Giants"	7	36	""	1	"n"
"203"	2013	6	"Sundayoops!"	"7:20:00 PM"	"Dallas"	"Washington"	31	16	""	0	"y"
"453"	2014	16	"Thursdayoops!"	"8:30:00 PM"	"Jacksonville"	"Tennessee"	21	13	""	1	"y"
"739"	2012	10	"Mondayoops!"	"8:30:00 PM"	"Pittsburgh"	"Kansas City"	16	13	"OT"	25	"n"
"959"	2015	3	"Sunday"	"12:00:00 PM"	"Tennessee"	"Indianapolis"	33	35	""	8	"y"
"878"	2014	15	"Sunday"	"1:26:00 PM"	"Seattle"	"San Francisco"	17	7	""	1	"y"
"783"	2012	17	"Sunday"	"1:25:00 PM"	"San Diego"	"Oakland"	24	21	""	60	"y"
"432"	2012	2	"Sunday"	"1:00:00 PM"	"Jacksonville"	"Houston"	7	27	""	5	"y"
"607"	2015	10	"Sunday"	"4:25:00 PM"	"New York Giants"	"New England"	26	27	""	22	"n"
"584"	2012	12	"Sunday"	"8:20:00 PM"	"New York Giants"	"Green Bay"	38	10	""	23	"n"
"271"	2011	16	"Saturday"	"4:05:00 PM"	"Detroit"	"San Diego"	38	10	""	NA	"n"
"482"	2013	12	"Sundayoops!"	"12:00:00 PM"	"Kansas City"	"San Diego"	38	41	""	4	"y"
"844"	2015	9	"Sunday"	"1:05:00 PM"	"San Francisco"	"Atlanta"	17	16	""	22	"n"
"898"	2012	7	"Sunday"	"1:00:00 PM"	"Tampa Bay"	"New Orleans"	28	35	""	1	"y"
